Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	128.51985	25.999327	159.18332	70.34896	500.0	30.646616	8.540498	45.11564	-2.335026	20000	6.5803527e-09	15.646944	-0.008193528	-0.32032967	0.48249063	0.0049847728	0.0453	79.0	57.91346001625061
1	131.5103	25.569044	165.01855	45.51434	500.0	30.77587	8.883145	45.18265	-4.600014	40000	-1.9168853e-08	20.741789	-0.0094987415	-0.4303398	0.48190078	0.00527304	0.04965	79.0	114.84406471252441
2	130.50752	25.083647	175.48134	60.887207	500.0	31.042587	8.063467	44.9607	3.2679708	60000	-7.2956086e-09	13.269609	-0.008552644	-0.22177505	0.48148614	0.004025255	0.042	79.0	173.02812004089355
3	128.05756	23.755491	166.66046	61.10528	500.0	30.460728	8.142861	45.096493	4.3336453	80000	1.37805936e-08	14.487224	-0.009855379	-0.28310204	0.48120975	0.006893103	0.047	79.0	231.00861072540283
4	137.75029	18.072256	169.87659	61.02855	500.0	31.299938	8.306721	45.084106	1.5013443	100000	-7.6293943e-10	17.92905	-0.009231449	-1.2447262	0.48054737	0.0034023414	0.04225	79.0	289.0974962711334
5	134.48799	21.374958	157.66795	57.306786	500.0	32.09638	7.732172	45.160736	-1.2747414	120000	1.1825562e-08	11.964323	-0.009702924	-0.38076496	0.4798103	0.0049155685	0.04595	79.0	345.94247245788574
6	131.18115	20.03859	157.47119	63.44169	500.0	31.286257	7.569744	45.14199	0.8118575	140000	-6.723404e-09	13.553172	-0.009376757	-0.39575195	0.47949278	0.005301693	0.0437	79.0	402.65589213371277
7	129.21037	27.237282	170.51338	50.729317	500.0	30.65254	7.777607	44.867607	4.3015966	160000	-2.1648408e-08	17.235918	-0.010203926	-0.4017582	0.47878724	0.005295362	0.05015	79.0	459.1190583705902
8	131.12785	19.24062	156.98582	73.76255	500.0	30.768963	7.4922667	45.04221	5.625603	180000	-4.053116e-09	12.261164	-0.009738515	-0.51622105	0.47816542	0.005916206	0.0495	79.0	516.807932138443
9	127.42958	21.58906	163.2098	73.07395	500.0	30.447546	7.759783	45.15723	8.227606	200000	5.722046e-10	16.809172	-0.010498877	-0.14740753	0.4773804	0.0061782175	0.06335	79.0	572.895388841629
10	135.44786	20.786432	172.87308	59.014854	500.0	31.534006	8.0469055	45.056686	-1.9556457	220000	1.935959e-08	14.415927	-0.009575652	-0.2680893	0.47689477	0.0055143093	0.0463	79.0	629.9060139656067
