Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	7.506532	24.38383	65.47097	-21.246944	1000.0	0.33915183	0.36353436	1.8316374	-0.8842176	540000	5.4359437e-09	13.958044	-0.005949751	-0.089606285	0.90633667	0.00270169	0.0099	79.0	1532.6964151859283
27	35.52273	31.598667	80.82611	-23.981077	1000.0	0.68320227	0.4434775	1.9643959	-0.7421288	560000	-3.089905e-08	22.497276	-0.007430661	-1.5694542	0.90563774	0.0026499492	0.0235	79.0	1590.3023447990417
28	12.150509	28.551483	85.19626	-20.894476	1000.0	0.777835	0.49199936	2.5404053	-0.9462839	580000	-1.5640259e-08	16.588085	-0.0070361863	-0.12793922	0.90522736	0.002220399	0.0173	79.0	1647.3492333889008
29	24.743923	27.901766	74.23905	-19.458935	1000.0	1.054532	0.5424502	2.6094985	-1.048736	600000	-6.1035155e-09	19.81928	-0.006899624	-0.53811836	0.9049552	0.003637767	0.0189	79.0	1704.4218246936798
30	27.167368	23.276356	90.733574	-16.648989	1000.0	1.3187625	0.55039036	3.0364342	-1.0391968	620000	3.519058e-08	17.90304	-0.006901214	-0.6582489	0.9045047	0.0024033424	0.01965	79.0	1760.7122740745544
31	30.999462	31.638039	86.39932	-17.668749	1000.0	1.6472273	0.6394383	3.2750902	-0.6147355	640000	-8.487701e-09	21.254208	-0.0078517655	-0.87594986	0.9039394	0.0033113796	0.02565	79.0	1817.47518658638
32	25.994953	33.700497	76.610916	-23.573952	1000.0	1.992357	0.6588059	3.6331859	-1.0831099	660000	3.8146974e-09	16.01324	-0.007241433	-0.2587471	0.90323615	0.0036463677	0.0208	79.0	1873.2878050804138
33	16.011183	33.920597	94.6584	-22.489254	1000.0	2.1906183	0.65685016	3.8425746	-1.3365817	680000	-8.201599e-09	21.661568	-0.007302816	-0.23374939	0.9028727	0.0041765245	0.02195	79.0	1929.4195630550385
34	31.983618	36.1558	82.76467	-26.053818	1000.0	2.2431848	0.6888022	3.774425	-1.1140996	700000	3.0517577e-09	21.514782	-0.0076827127	-0.522007	0.90289927	0.0031648625	0.01685	79.0	1987.2548458576202
35	18.842813	29.04662	96.79391	-20.947823	1000.0	2.4114032	0.6268368	4.0365543	-1.212636	720000	-1.0967255e-08	17.360708	-0.007907208	-0.14839935	0.9023022	0.003921017	0.0309	79.0	2044.0172181129456
36	35.088688	30.191315	88.47928	-15.981533	1000.0	2.5787075	0.65698004	3.9704056	-1.2336472	740000	-1.9073486e-10	21.920218	-0.0073774178	-0.46401215	0.90206814	0.0028672747	0.0185	79.0	2099.85027050972
37	26.26933	36.231007	90.1869	-39.53681	1000.0	2.7670383	0.70175314	4.2473736	-1.0941348	760000	1.8978119e-08	21.820505	-0.008086688	-0.20965195	0.9016085	0.0039982675	0.02715	79.0	2155.5474576950073
38	43.321556	35.06641	93.83462	-23.399382	1000.0	2.980921	0.6559438	4.330072	-1.5016665	780000	-3.9100647e-09	22.026405	-0.008066497	-0.86870766	0.90110004	0.0029993122	0.0256	79.0	2211.2685635089874
39	32.40031	30.424803	89.0967	-18.646996	1000.0	3.304876	0.63427246	4.602663	-1.096362	800000	-7.629395e-09	18.887207	-0.0080310805	-0.09844589	0.9004889	0.004307159	0.0232	79.0	2266.150715112686
40	28.927715	33.096985	83.27538	-18.198048	1000.0	3.2744253	0.6539879	4.602584	-0.86326754	820000	-2.0885468e-08	20.277607	-0.007988572	-0.23392487	0.90010023	0.0027532603	0.0202	79.0	2320.9748618602753
41	42.188152	41.440285	109.322784	-23.801935	1000.0	3.2944953	0.71270573	4.643825	-1.4410788	840000	-1.18732455e-08	27.149643	-0.008127642	-0.46935844	0.8992835	0.0034483434	0.0242	79.0	2375.773021697998
42	27.370255	40.38135	93.02069	-43.53384	1000.0	3.4302835	0.701436	4.783829	-0.9166888	860000	4.863739e-09	25.524755	-0.008024505	-0.69161415	0.8989084	0.0035164517	0.0282	79.0	2431.256071329117
43	36.45163	31.82225	91.4901	-16.823524	1000.0	3.282625	0.7169682	4.7267985	-1.3012933	880000	4.506111e-09	23.514217	-0.008510981	-0.16819572	0.8980508	0.0052736797	0.0359	79.0	2487.430291414261
44	29.919428	36.405758	106.79011	-20.5087	1000.0	3.2277927	0.74925435	4.8699446	-1.2920345	900000	3.8146972e-10	28.245043	-0.0074955435	-0.3810234	0.8972679	0.0037636447	0.02005	79.0	2543.695549249649
45	45.294228	42.48644	107.67864	-30.693792	1000.0	3.3746731	0.8774575	4.9783964	-1.1674595	920000	-1.6212464e-08	27.451305	-0.007862774	-0.6467018	0.8971654	0.0036844788	0.02	79.0	2599.65571808815
46	43.530174	35.012066	94.360886	-31.176138	1000.0	3.7196734	0.7765927	5.0707684	-1.5730984	940000	-5.912781e-09	25.720074	-0.0071030846	-0.279356	0.8966229	0.0037972427	0.0159	79.0	2656.9341762065887
