Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	138.14743	17.960985	177.50974	93.59602	500.0	31.079418	7.2081466	45.212364	-4.8061433	20000	-1.0967255e-08	12.664309	-0.010761056	-0.58075714	0.3869492	0.00526314	0.04725	79.0	54.070250272750854
1	140.07796	25.304413	180.28676	62.883984	500.0	31.49715	7.160433	45.530342	5.209682	40000	1.6880035e-08	15.724142	-0.009844292	-1.363739	0.38639468	0.006297072	0.04415	79.0	111.78449821472168
2	137.96834	21.659147	169.417	75.91141	500.0	31.757385	8.135067	45.574482	-4.7334156	60000	-1.0490417e-09	13.198428	-0.009966071	-0.13398457	0.3864159	0.004567357	0.043	79.0	167.11172437667847
3	140.1188	25.581173	171.91953	53.140877	500.0	31.804619	8.707823	45.57972	-7.093808	80000	8.010864e-09	13.756094	-0.010693684	-0.2842703	0.38585696	0.0050369496	0.0466	79.0	223.8178789615631
4	138.6357	20.863592	165.95256	62.74651	500.0	32.02134	8.025263	45.561436	-4.5606008	100000	-4.005432e-09	12.992997	-0.010403543	-0.2695999	0.38524762	0.0051707	0.04815	79.0	279.20706057548523
5	125.49679	31.305182	168.87518	35.257904	500.0	29.626703	9.235285	45.463726	-6.512225	120000	1.5163423e-08	19.99836	-0.01186365	-1.0027161	0.38489738	0.0074342764	0.05845	79.0	335.213627576828
6	136.88974	21.532154	170.09685	66.00584	500.0	30.990662	8.079494	45.44552	-4.887684	140000	3.2901764e-09	14.994572	-0.010499257	-0.86939526	0.38468593	0.004666168	0.04445	79.0	389.88292384147644
7	133.46724	29.469826	164.61636	55.370293	500.0	31.101372	8.022729	45.320255	-4.6608095	160000	-1.3351441e-08	17.07902	-0.011068063	-0.64668846	0.38431075	0.0072059343	0.0573	79.0	446.74790477752686
8	141.43066	24.068651	174.29463	58.159924	500.0	31.875406	8.224686	45.63298	-0.22282356	180000	-4.4822692e-09	16.079645	-0.0110283885	-1.1645718	0.38400626	0.005486322	0.0482	79.0	503.1675560474396
9	141.48267	21.034925	171.53914	52.11982	500.0	32.697723	7.59578	45.610893	6.7086015	200000	-1.2111664e-08	12.33955	-0.010690242	-0.12648582	0.38336864	0.004157175	0.0531	79.0	558.5758798122406
10	139.18307	24.158976	186.6203	66.645584	500.0	32.584324	8.162297	45.774582	2.627243	220000	2.7179718e-09	16.351768	-0.011250776	-0.4118185	0.38259774	0.0057742163	0.0582	79.0	614.8498151302338
11	137.60083	20.162191	174.79247	76.99248	500.0	32.463177	8.01464	45.821228	2.8454862	240000	1.0585785e-08	12.615259	-0.011377058	-0.24128151	0.3823988	0.003698376	0.05305	79.0	671.1463193893433
12	130.78438	26.442404	161.50891	67.569725	500.0	31.410152	7.9074197	45.528065	4.7631865	260000	3.1948089e-09	19.41674	-0.010398112	-1.3012733	0.38194397	0.004292627	0.0497	79.0	726.3618557453156
13	143.11954	20.850832	181.5998	93.45098	500.0	31.778187	8.276654	45.7727	-3.1843638	280000	-3.4332275e-09	11.738037	-0.011167762	-1.8439636	0.3818747	0.005871698	0.0601	79.0	781.8322064876556
14	144.38376	20.801285	182.31201	81.46369	500.0	33.250996	8.23373	45.88938	-4.3070827	300000	2.670288e-09	10.749181	-0.011982881	-0.1451788	0.3815091	0.0055273934	0.0664	79.0	842.2999033927917
15	136.47737	27.62706	179.85936	61.83896	500.0	32.38305	8.44811	45.895832	-4.6683016	320000	3.2520294e-08	21.275951	-0.011000234	-0.91986847	0.38113776	0.0048935446	0.05855	79.0	897.9584336280823
16	131.54822	25.374651	173.1359	64.995346	500.0	30.74634	8.845417	45.76135	-4.6417003	340000	-1.1730194e-08	20.69477	-0.010337216	-0.33727646	0.38081425	0.004631364	0.05285	79.0	954.6459023952484
17	138.00569	24.584095	179.95732	59.937225	500.0	31.747213	7.865481	45.729164	4.752002	360000	1.01089475e-08	13.301886	-0.009897171	-0.3994112	0.38024834	0.0042493353	0.0458	79.0	1009.5768496990204
18	140.70778	25.459974	180.62761	58.96649	500.0	32.522373	8.1325865	45.89322	-5.769266	380000	-1.1587143e-08	14.621601	-0.010544297	-0.16737461	0.38001692	0.00584564	0.0532	79.0	1064.5834140777588
19	137.08691	24.253908	177.77399	66.74266	500.0	32.153095	7.9448504	45.924866	7.1929426	400000	-1.001358e-08	13.380416	-0.010275534	-0.40255928	0.37981662	0.004668213	0.0498	79.0	1119.3741986751556
20	129.10295	32.090916	173.21172	41.01214	500.0	30.30845	9.514329	45.95222	-5.233374	420000	2.5749207e-09	20.713518	-0.009726552	-1.3894596	0.3793323	0.005622101	0.04955	79.0	1175.627492427826
21	137.81395	24.093622	172.27158	66.377144	500.0	30.852509	9.196196	45.843895	-7.188118	440000	-8.5830687e-10	18.178602	-0.010273885	-0.9566517	0.3792126	0.0056698755	0.04645	79.0	1231.203948020935
22	138.00337	21.384596	168.69328	80.2818	500.0	32.013405	7.086619	45.73964	8.490014	460000	1.1253357e-08	13.548473	-0.009595892	-0.61569405	0.37871796	0.0035822163	0.0467	79.0	1287.2248167991638
23	134.29343	23.322754	167.47304	75.97462	500.0	31.541525	7.8439827	45.850754	1.0483848	480000	-1.8787384e-08	15.049885	-0.010191443	-0.2826786	0.3784719	0.0052639972	0.0455	79.0	1342.5700845718384
24	133.21817	25.155989	177.65387	31.973955	500.0	31.098194	8.296779	45.964695	-4.3616943	500000	3.4332274e-08	13.07628	-0.010155069	-0.29048157	0.37825885	0.0046524988	0.04675	79.0	1397.805279970169
25	132.99744	21.48919	161.89867	83.110855	500.0	31.060612	7.9185915	45.73229	-2.997698	520000	-7.915497e-09	12.501636	-0.01019714	-0.13204288	0.3780772	0.0047129937	0.05025	79.0	1452.994769334793
26	138.90382	24.287441	171.50134	56.236828	500.0	31.8352	7.9747787	45.708565	-4.357617	540000	-1.7881394e-08	13.188334	-0.009919928	-0.82457924	0.37766698	0.004428485	0.04545	79.0	1508.9610860347748
27	140.71547	17.340014	172.56784	97.904144	500.0	32.921055	7.6812897	45.85547	8.155633	560000	-1.3828277e-09	9.677164	-0.010465057	-0.38868523	0.37672466	0.0050662966	0.0489	79.0	1565.0758204460144
28	141.71716	15.937459	177.51254	110.39776	500.0	32.870743	7.331291	45.865677	11.179758	580000	1.9073487e-09	9.424334	-0.010041785	-0.3647213	0.37634054	0.0036375015	0.04355	79.0	1621.013822555542
29	135.68445	23.35331	178.64682	72.05001	500.0	32.17833	7.7459517	45.840374	-3.4382083	600000	1.1444092e-09	17.282326	-0.011586687	-1.9270363	0.37612155	0.0058100624	0.0598	79.0	1676.6002497673035
30	137.34892	24.190132	173.44383	76.01596	500.0	31.507385	7.7039747	45.69888	-3.5155673	620000	-2.5749207e-09	12.971332	-0.010894167	-0.45049763	0.3755284	0.00549841	0.04985	79.0	1732.3485758304596
31	139.86461	19.267138	170.38554	88.12738	500.0	32.51935	7.85957	45.83709	5.321417	640000	-1.2207031e-08	12.67462	-0.01140299	-0.21271992	0.37506306	0.0062085497	0.0615	79.0	1789.3310310840607
32	142.33795	16.77398	168.05786	92.01873	500.0	32.893295	7.29605	45.813812	3.5732431	660000	-6.6757204e-09	9.950902	-0.010639636	-0.24155235	0.3743408	0.0060951556	0.0514	79.0	1848.033387184143
33	136.6834	23.615595	169.73004	81.22957	500.0	31.931988	8.329353	45.807716	-4.1205683	680000	-1.9073487e-09	12.839819	-0.011007997	-0.28152084	0.37368202	0.006018142	0.05595	79.0	1907.9232966899872
34	136.67453	26.326227	177.70863	73.58621	500.0	31.95318	7.9387293	45.75189	5.90341	700000	-1.0299683e-08	15.977794	-0.010753962	-0.41179562	0.3735234	0.006853106	0.0562	79.0	1967.3867058753967
35	136.27261	24.802084	177.0587	75.49836	500.0	31.828716	8.736549	46.036777	-0.7245651	720000	-6.198883e-09	17.695122	-0.010778411	-0.19724274	0.37303802	0.004368263	0.0491	79.0	2025.9385242462158
36	144.41158	19.002531	177.55728	89.87382	500.0	32.93448	8.233035	45.911095	1.6641612	740000	1.0871887e-08	12.766078	-0.011593256	-0.42112064	0.37235796	0.007015275	0.0608	79.0	2082.948520421982
37	137.87491	23.726055	175.70586	60.00677	500.0	32.41038	7.9002233	45.91631	-3.8592227	760000	1.1348725e-08	13.791339	-0.010504708	-0.44535255	0.3723155	0.0059501817	0.04955	79.0	2139.6770632267
38	145.38277	17.148811	179.83662	95.77269	500.0	33.184746	7.8909955	45.910378	8.722237	780000	1.335144e-09	12.2487755	-0.010951213	-0.6668272	0.3719787	0.005341531	0.0551	79.0	2197.860685110092
39	139.15039	15.619144	169.69325	84.972015	500.0	33.06733	7.8993826	45.84442	7.4114594	800000	-3.8146972e-10	12.097229	-0.010700647	-0.41923237	0.37173834	0.005146713	0.04085	79.0	2256.753517150879
40	136.65866	19.207462	167.38739	75.9028	500.0	32.45043	8.038539	45.73194	-4.6344066	820000	-1.8119812e-09	10.534257	-0.011154439	-0.34882164	0.3714776	0.005991363	0.05495	79.0	2316.7048823833466
41	137.0964	22.175272	163.03403	38.859505	500.0	32.07639	8.414387	45.886364	-6.128247	840000	-2.2172928e-09	16.193066	-0.011951763	-1.0537081	0.37124065	0.004808529	0.0538	79.0	2376.1254053115845
42	140.73071	20.659582	175.01831	77.523346	500.0	32.16438	8.174892	45.871166	-5.894945	860000	1.3971329e-08	12.050378	-0.0109641105	-0.28656578	0.37104002	0.0059303255	0.0559	79.0	2433.5063350200653
43	140.24487	18.540459	181.46231	70.656784	500.0	32.23657	7.905422	45.421284	-5.711673	880000	-6.7710877e-09	12.336	-0.010836767	-0.20796013	0.37071615	0.006845414	0.05455	79.0	2490.1829624176025
44	139.36977	19.575562	174.82301	83.849205	500.0	32.38297	7.9850144	45.74669	-5.114908	900000	9.775162e-10	11.733988	-0.011218748	-0.12683868	0.37000456	0.005525601	0.04815	79.0	2546.6465227603912
45	142.59183	21.04641	171.23926	39.336903	500.0	32.73333	8.451855	45.72086	-5.1470475	920000	5.722046e-09	9.783896	-0.01055278	-0.5275402	0.36949557	0.006088749	0.0499	79.0	2603.0672237873077
46	137.04051	18.289019	169.7558	71.84214	500.0	32.39045	8.279728	45.93734	-4.7813277	940000	5.38826e-09	15.656816	-0.0102084875	-0.7147875	0.36923823	0.0049547316	0.04115	79.0	2659.1125807762146
47	138.16934	20.66135	181.84834	91.781975	500.0	32.138004	7.7388678	45.823483	-5.031653	960000	4.4822692e-09	15.506942	-0.011384194	-0.47683716	0.36850697	0.005774463	0.06355	79.0	2716.3965554237366
48	142.95181	19.386211	185.04834	87.39163	500.0	32.413887	7.4498396	45.833454	3.7431908	980000	-2.2888185e-09	12.869648	-0.010425542	-1.0163708	0.3683724	0.0054284874	0.0473	79.0	2772.7349758148193
49	145.51599	14.053009	176.16982	96.72147	500.0	33.431545	7.684908	45.95809	-0.17063457	1000000	-3.8146974e-09	10.425376	-0.01181534	-0.22335815	0.3679496	0.0050362474	0.0519	79.0	2828.8332891464233
50	142.30295	22.987942	174.42789	49.398205	500.0	33.2493	7.4959645	45.976707	6.3516383	1020000	-1.4305115e-09	11.617936	-0.011858917	-0.47828197	0.36718586	0.006475897	0.0612	79.0	2885.59366440773
51	141.97293	17.931622	175.99504	74.922	500.0	33.233795	7.4961457	45.93738	6.245455	1040000	-8.5830685e-09	9.283006	-0.0103715565	-0.21511078	0.3666397	0.0050198883	0.0526	79.0	2942.617550611496
52	137.6719	18.473032	161.74634	79.6796	500.0	32.528778	7.9419003	45.8711	-5.080106	1060000	8.487701e-09	11.237713	-0.010571794	-0.40680122	0.36583138	0.005462056	0.0429	79.0	2999.032913684845
53	141.60327	17.243328	168.87117	91.01107	500.0	32.700985	7.027262	45.90621	2.1237564	1080000	-1.9073486e-10	10.681981	-0.011109148	-0.23184681	0.36575484	0.0049059642	0.05335	79.0	3056.4160611629486
54	132.31296	20.893349	161.22426	65.97385	500.0	31.603313	7.7701616	45.962704	-3.7921462	1100000	-1.1205673e-08	13.544664	-0.011464785	-0.61084175	0.36541474	0.0047709	0.05215	79.0	3114.2547731399536
55	132.80965	20.624723	160.93164	69.12896	500.0	31.176172	8.171486	45.923866	-3.9904485	1120000	-7.96318e-09	15.416204	-0.010947104	-0.41362286	0.3650769	0.005665765	0.04495	79.0	3171.0305168628693
56	139.76393	18.028524	183.38055	87.85133	500.0	32.63319	7.603716	45.929142	6.0989523	1140000	8.5830685e-09	10.072331	-0.010928027	-0.38878822	0.3647401	0.0053994283	0.052	79.0	3228.9515080451965
57	135.88919	21.347345	169.5419	74.91987	500.0	32.079838	7.63913	45.909203	5.7650776	1160000	4.2915342e-09	12.383876	-0.01099825	-0.59145737	0.36402962	0.004321913	0.0483	79.0	3284.6611275672913
58	135.12093	21.885515	175.85446	57.920033	500.0	31.67819	9.180198	45.98215	-5.0003953	1180000	-9.727478e-09	13.7983	-0.010877165	-0.42750263	0.3637075	0.0048937253	0.05115	79.0	3339.0939877033234
59	134.81042	20.35182	163.00996	64.88556	500.0	31.905094	7.4011374	45.86285	3.6699	1200000	1.1920929e-08	11.648414	-0.010957679	-0.3883705	0.36355156	0.005936889	0.04995	79.0	3393.7956235408783
60	140.35951	21.720322	180.44077	61.335564	500.0	32.21169	7.850988	45.82617	-3.4616702	1220000	3.3378602e-09	12.5735	-0.010981523	-0.21822643	0.36351448	0.0057787793	0.05745	79.0	3448.497185945511
61	136.79745	22.593046	165.04001	66.41073	500.0	31.832554	7.661945	45.591087	1.2919855	1240000	-3.862381e-09	14.550542	-0.0104149785	-0.3261509	0.36327034	0.005992229	0.056	79.0	3503.489010810852
62	136.77708	20.552448	176.90923	81.10901	500.0	31.662285	8.36189	45.779873	-5.20862	1260000	1.3208389e-08	15.979233	-0.010821573	-0.28808594	0.36289454	0.005234362	0.05415	79.0	3558.227306127548
63	138.44334	19.064014	178.63394	79.00334	500.0	32.19508	7.8884907	45.86581	4.543578	1280000	-2.450943e-08	11.524278	-0.010770218	-0.5653496	0.3622201	0.0045940066	0.05015	79.0	3612.7938418388367
64	140.25705	24.140385	193.69601	65.80222	500.0	32.41711	8.111657	45.86651	-6.9206023	1300000	4.196167e-09	11.674175	-0.011713977	-0.34501076	0.36192918	0.0069136727	0.06075	79.0	3667.5283846855164
