Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-40.736134	6.5941086	-28.008545	-56.48734	1000.0	-0.03994671	0.16750212	0.5612248	-0.5906324	20000	-1.5583038e-07	15.838407	-0.008000092	-0.21809292	0.9189385	0.0032501186	0.01845	79.0	59.901936531066895
1	-37.100258	6.1905	-25.667763	-47.594986	1000.0	-0.06873503	0.16847315	0.55687904	-0.6802613	40000	-6.175041e-08	13.2407465	-0.00807756	-0.17502499	0.918288	0.002376648	0.0227	79.0	118.29156613349915
2	-36.15033	4.962649	-25.481958	-44.140095	1000.0	-0.090464406	0.17148861	0.502378	-0.6916841	60000	4.043579e-08	11.817241	-0.008013867	-0.17149448	0.9178332	0.0021001634	0.0134	79.0	175.56452250480652
3	-35.298866	5.302688	-27.186127	-48.069233	1000.0	-0.12125967	0.1775649	0.5081055	-0.78268576	80000	-5.197525e-08	10.949789	-0.007660719	-0.16531086	0.9176465	0.0009701557	0.00945	79.0	232.88767051696777
4	-31.43877	4.6950636	-23.57744	-41.963776	1000.0	-0.1340688	0.18515421	0.52363086	-0.7884046	100000	6.313324e-08	8.915364	-0.009116212	-0.13546944	0.91695964	0.0037974378	0.0235	79.0	290.562237739563
5	-29.577366	5.607643	-19.737833	-42.38993	1000.0	-0.15821369	0.18728963	0.5060846	-0.8495192	120000	3.080368e-08	7.8952584	-0.008861755	-0.1278553	0.9163138	0.003957279	0.03005	79.0	347.6866180896759
6	-26.823603	6.172606	-14.015109	-39.81689	1000.0	-0.17653014	0.1974972	0.6642233	-0.8757909	140000	-5.288124e-08	6.5812893	-0.008025787	-0.106565	0.9160105	0.00251587	0.01955	79.0	405.2417438030243
7	-25.393711	7.0145245	-13.879809	-36.631226	1000.0	-0.19681953	0.20160288	0.5104034	-0.93668056	160000	-2.670288e-09	5.8679776	-0.0074297055	-0.098630905	0.9157664	0.0017756474	0.016	79.0	462.2451686859131
8	-26.171335	6.4775667	-15.142038	-38.453392	1000.0	-0.21984702	0.20895207	0.58762544	-0.99169785	180000	-7.314682e-08	6.3541303	-0.007970005	-0.11656904	0.915178	0.004190501	0.0257	79.0	519.1971142292023
9	-22.664085	6.00564	-10.053223	-36.33741	1000.0	-0.24007885	0.21613042	0.60784465	-1.0666528	200000	-5.9509276e-08	4.859309	-0.0069490355	-0.09036541	0.91455597	0.0027312476	0.0151	79.0	575.9134149551392
10	-22.17566	6.5990367	-9.70768	-37.22307	1000.0	-0.27298132	0.2292448	0.6460077	-1.037131	220000	-8.7928775e-08	4.912769	-0.0076781986	-0.083312035	0.91419476	0.0031032008	0.0202	79.0	632.7504909038544
11	-20.938114	6.8790317	-9.331145	-31.2116	1000.0	-0.2832109	0.24023692	0.61178803	-1.1246206	240000	1.2493134e-08	4.411198	-0.0073008565	-0.08648682	0.9138408	0.003074259	0.0195	79.0	689.4438924789429
12	-21.371702	7.8503737	-8.086954	-38.443714	1000.0	-0.31333676	0.2549241	0.7112034	-1.2319585	260000	4.2915342e-09	4.693812	-0.008372916	-0.09467316	0.9133078	0.0024330735	0.02205	79.0	746.3046317100525
13	-19.621513	5.622389	-6.2679405	-27.197443	1000.0	-0.34610596	0.26748008	0.81167877	-1.3483751	280000	-3.3569336e-08	4.1899114	-0.0084885	-0.08053112	0.91278595	0.0033473514	0.03085	79.0	802.9319403171539
14	-18.566792	5.616042	-8.799484	-27.090048	1000.0	-0.3697278	0.28084746	0.9151574	-1.3705397	300000	1.4066696e-08	3.7473712	-0.006991827	-0.06434417	0.9122975	0.003295935	0.01705	79.0	861.5041127204895
15	-16.489676	6.6874976	0.21424457	-25.284634	1000.0	-0.39177868	0.29420924	0.7857751	-1.3870835	320000	-3.490448e-08	3.871366	-0.00793047	-0.04968047	0.9113656	0.003191146	0.0256	79.0	918.8630216121674
16	-15.095815	7.30239	-4.4545116	-32.40085	1000.0	-0.39736527	0.3041665	0.995359	-1.4330562	340000	1.9454957e-08	3.0316176	-0.0071711163	-0.041830063	0.9108712	0.0036771777	0.0267	79.0	975.6709225177765
17	-15.743426	7.863275	6.8079133	-24.47481	1000.0	-0.43112794	0.3110167	0.7479147	-1.6056566	360000	-6.494522e-08	3.410177	-0.007657754	-0.046592712	0.9101476	0.0032499065	0.02235	79.0	1032.40545296669
18	-10.761227	6.060433	-2.035573	-20.291056	1000.0	-0.4280461	0.32005054	0.781662	-1.6836063	380000	1.3637543e-08	3.0693932	-0.00768521	-0.016083002	0.9097062	0.0035382328	0.02225	79.0	1089.2990674972534
19	-15.766294	7.0201154	-1.3591694	-24.894958	1000.0	-0.4703991	0.3159098	0.82927805	-1.6752882	400000	2.0122528e-08	3.6484952	-0.007965683	-0.05393505	0.909232	0.0038190484	0.02345	79.0	1146.1865239143372
20	-14.30969	8.954611	6.790404	-27.291094	1000.0	-0.49740875	0.33325562	0.7993185	-1.8741378	420000	7.70092e-09	3.585858	-0.007591852	-0.038394928	0.9086326	0.0033993302	0.0193	79.0	1203.160588502884
21	-10.228842	7.5717187	5.414806	-26.197632	1000.0	-0.4973588	0.34264532	0.9829487	-1.6766961	440000	6.198883e-09	2.6227076	-0.0078612	-0.018889666	0.9080896	0.004139197	0.02445	79.0	1259.9331457614899
22	-14.640742	5.7655253	-6.100232	-24.058369	1000.0	-0.5511338	0.3409548	0.9600948	-1.8436253	460000	8.678437e-09	3.3467016	-0.006948597	-0.057812452	0.9076192	0.0026144383	0.01855	79.0	1316.9779968261719
23	-13.921778	6.1213126	-2.3529363	-22.639633	1000.0	-0.60235953	0.3548094	0.7888236	-1.9775265	480000	-1.1301041e-08	3.1522503	-0.007242396	-0.035689592	0.9071835	0.0013198906	0.01525	79.0	1373.5689344406128
24	-11.483235	7.6446347	2.4734054	-21.81173	1000.0	-0.6268744	0.3656825	0.81770223	-1.9436021	500000	1.335144e-09	2.9348428	-0.006879366	-0.020151377	0.90678966	0.0024517665	0.01785	79.0	1430.270695924759
25	-10.4797535	5.371022	-3.2795112	-23.875032	1000.0	-0.6649366	0.36239326	0.8367561	-1.9338948	520000	0.0	3.300586	-0.0077657737	-0.029538155	0.9063064	0.0027651854	0.02835	79.0	1486.875271320343
26	-10.427761	8.319734	5.2924714	-27.919588	1000.0	-0.70050114	0.37094852	0.8838262	-1.8976786	540000	4.768372e-10	2.8353524	-0.00832254	-0.019253254	0.9056496	0.0036545158	0.02795	79.0	1543.6605439186096
27	-11.623914	6.3021793	-0.21514148	-21.900175	1000.0	-0.7507085	0.36691612	0.8442187	-2.0853024	560000	-4.4584274e-09	3.0189905	-0.0075282212	-0.026778698	0.90508664	0.0035924534	0.02485	79.0	1600.5829894542694
28	-7.1151733	6.2519207	6.0837092	-16.468182	1000.0	-0.7968394	0.37099266	0.7450174	-2.0904033	580000	6.3896177e-09	3.2063143	-0.006657191	-0.031309366	0.9044531	0.0009080349	0.01475	79.0	1658.0495388507843
29	-10.298288	5.973652	-0.2310017	-20.06231	1000.0	-0.8222551	0.34735233	0.6270495	-2.0329766	600000	-8.773804e-09	2.462069	-0.0069843563	-0.023783684	0.90396976	0.003338231	0.01505	79.0	1715.8931908607483
30	-9.643694	6.0681663	3.6139135	-20.783724	1000.0	-0.88713837	0.3452954	0.6163267	-2.039168	620000	-7.939339e-09	2.0113254	-0.007948542	-0.016962886	0.9034188	0.00352268	0.02485	79.0	1773.3916120529175
31	-11.00089	5.29585	-0.88323957	-18.806929	1000.0	-0.95004827	0.33554628	0.4733857	-2.1995308	640000	-1.6975402e-08	1.432477	-0.0071577933	-0.011685014	0.9027665	0.0034341048	0.0222	79.0	1831.0321254730225
32	-11.331521	4.5735507	-5.197917	-18.233303	1000.0	-1.018882	0.3280357	0.51952684	-2.1966498	660000	-1.2874604e-08	1.4299834	-0.0071473317	-0.015261054	0.9021879	0.002563911	0.02	79.0	1888.6603586673737
33	-9.3524275	5.134437	-1.9316598	-18.446491	1000.0	-1.1090199	0.3300361	0.35710496	-2.2423937	680000	5.722046e-10	1.4083751	-0.0077965963	-0.01693046	0.901488	0.0030682697	0.03025	79.0	1946.4722673892975
34	-9.498906	6.8859744	2.2294695	-18.692425	1000.0	-1.1415521	0.31312156	0.3224763	-2.214425	700000	-8.9645384e-09	1.5276934	-0.007907997	-0.024810791	0.90142816	0.003838066	0.0298	79.0	2004.1439800262451
35	-8.506837	6.2602177	2.5672174	-18.533419	1000.0	-1.1244965	0.29178914	0.11180605	-2.205145	720000	-3.8146972e-10	1.7467041	-0.007655946	-0.029961944	0.90083396	0.0030095247	0.0246	79.0	2061.759063720703
36	-8.560561	5.7478323	0.66127795	-19.239693	1000.0	-1.1015396	0.27110752	0.23860231	-2.0193481	740000	-1.2397766e-08	1.4848729	-0.0068685617	-0.020622253	0.900481	0.002967638	0.01805	79.0	2119.551187992096
37	-6.145028	7.6639314	5.9312143	-18.848225	1000.0	-1.0715752	0.25718886	0.5038927	-1.9490576	760000	-4.673004e-09	1.8044887	-0.006929235	-0.07215643	0.8998087	0.0017358996	0.01655	79.0	2177.487439393997
38	-6.5589027	7.161615	5.9935036	-19.060642	1000.0	-0.9448254	0.23808503	0.19696136	-1.7160302	780000	6.365776e-09	1.6712203	-0.0069112103	-0.021156192	0.8994411	0.003722011	0.02095	79.0	2235.2499306201935
39	-5.7973375	8.493702	10.547483	-20.720882	1000.0	-0.8744592	0.23418428	0.47172624	-1.7708156	800000	-8.5830687e-10	2.3245559	-0.007822236	-0.028755188	0.8985987	0.004188992	0.02775	79.0	2293.161612033844
40	-4.449635	9.327447	11.179178	-16.110758	1000.0	-0.78727806	0.22688824	0.17095166	-1.5778309	820000	1.077652e-08	2.372014	-0.006868863	-0.051793337	0.8978452	0.0030359752	0.01795	79.0	2350.929522037506
41	2.2683783	12.381454	24.310219	-19.597399	1000.0	-0.59524333	0.22897628	0.50973916	-1.3424737	840000	-1.4734268e-08	4.314878	-0.0077424715	-0.33544397	0.8972006	0.002720829	0.02415	79.0	2408.4667932987213
42	-1.9923279	13.932293	24.181387	-18.555748	1000.0	-0.24707116	0.23608986	0.8325922	-1.0491409	860000	3.9339065e-09	3.632884	-0.0074824425	-0.017505407	0.8965408	0.004069779	0.03095	79.0	2465.8688497543335
43	5.5450754	14.990963	44.29341	-15.813652	1000.0	-0.20672373	0.24492331	0.8034537	-1.0874517	880000	-2.4795533e-08	5.046375	-0.009114552	-0.28136253	0.896009	0.003547179	0.0437	79.0	2523.388232946396
44	3.3064194	17.61321	34.697414	-20.715504	1000.0	0.12965502	0.27886504	1.4109597	-1.0511395	900000	1.1062622e-08	5.349905	-0.006770719	-0.050658703	0.89553577	0.0028983257	0.01615	79.0	2580.710316181183
45	4.863406	15.932895	29.628025	-19.743494	1000.0	0.26270166	0.28355452	1.2726451	-0.8131113	920000	-2.2029877e-08	5.053258	-0.0070642917	-0.03461027	0.8950198	0.0036578663	0.0243	79.0	2638.000054359436
46	10.34924	18.870573	46.34259	-26.122355	1000.0	0.39118382	0.30460003	1.5882496	-0.7372287	940000	-6.2942505e-09	6.528596	-0.0067336503	-0.24380112	0.89413196	0.0037314224	0.01815	79.0	2695.0908155441284
47	6.7790666	18.307327	40.406895	-18.996038	1000.0	0.72235024	0.3166896	1.8536135	-0.9280605	960000	-5.340576e-09	4.564057	-0.00826004	-0.054006577	0.8937151	0.0034325656	0.03525	79.0	2752.485570669174
48	16.73017	18.188837	44.709743	-19.23285	1000.0	0.73234594	0.32987767	1.9159604	-0.91311294	980000	-1.0585785e-08	6.737903	-0.0065934355	-0.5387311	0.8929194	0.0038184193	0.01995	79.0	2809.550142765045
49	14.898631	18.41674	42.2218	-20.525885	1000.0	1.2593095	0.3495668	2.5027878	-0.59646934	1000000	-7.05719e-09	5.61038	-0.007363275	-0.034161568	0.89198035	0.004766505	0.0325	79.0	2866.8678076267242
50	10.066015	18.012106	38.29044	-18.577438	1000.0	1.3262138	0.36072707	2.5016012	-0.6961662	1020000	9.250641e-09	6.4163165	-0.0069802217	-0.16000605	0.8913122	0.0040979236	0.0267	79.0	2924.1012115478516
51	16.193247	15.41544	32.584206	-17.133217	1000.0	1.1479704	0.3676462	2.265199	-0.7376751	1040000	1.0490417e-08	5.9607496	-0.006911167	-0.18217325	0.89093256	0.0035646074	0.02585	79.0	2981.620994091034
52	32.40133	21.82648	51.724854	-19.440004	1000.0	1.5870388	0.39137933	2.6838555	-0.87639743	1060000	-3.6430357e-08	11.736059	-0.0067208176	-1.6011009	0.8905385	0.003264052	0.02035	79.0	3038.628669023514
53	21.99728	26.155693	59.08996	-17.133905	1000.0	2.277837	0.40572548	3.3158488	-1.0838228	1080000	-6.866455e-09	9.960722	-0.006189497	-0.09804821	0.88987744	0.0034389184	0.01975	79.0	3095.1352026462555
54	28.60896	24.074919	73.17759	-17.411346	1000.0	2.3138466	0.41179734	3.419206	-0.843129	1100000	-1.9550324e-08	9.152617	-0.006818287	-0.17683506	0.8896651	0.0025486476	0.0175	79.0	3152.0970854759216
55	19.935879	28.356535	61.488743	-20.28331	1000.0	2.4864597	0.4432867	3.5693398	-0.86619675	1120000	-3.4332275e-09	11.80691	-0.0065441756	-0.370409	0.8889492	0.0028049673	0.01745	79.0	3208.885757446289
56	29.143316	25.73878	67.23958	-15.524378	1000.0	2.3020904	0.46544206	3.4733531	-1.1217552	1140000	-1.8119811e-08	11.365363	-0.0068217837	-0.2364273	0.8883716	0.0031263866	0.0218	79.0	3265.4182245731354
57	37.319427	24.997816	71.634445	-12.436196	1000.0	2.622203	0.4710556	3.7329795	-1.0422443	1160000	6.1035155e-09	14.748714	-0.00694525	-0.71611404	0.8879729	0.0040087244	0.02665	79.0	3322.037253856659
58	27.29125	31.002085	64.889915	-24.43703	1000.0	3.0292425	0.4782464	4.12327	-1.0699471	1180000	-1.0490417e-08	13.211003	-0.0072357897	-0.2946968	0.887438	0.004453624	0.0319	79.0	3378.5496215820312
