Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	180.49104	17.653086	218.22942	97.01312	500.0	41.071342	9.998384	54.29289	-9.932843	20000	2.4223327e-08	8.759284	-0.016362216	-0.59559536	-0.32310763	0.0060001374	0.0771	79.0	55.09714937210083
1	174.34798	18.26932	203.49017	109.12672	500.0	41.24964	9.254981	55.28014	7.387719	40000	7.867813e-10	11.738185	-0.016603973	-0.41038418	-0.32359198	0.007450345	0.08425	79.0	108.93246579170227
2	171.92801	24.812979	207.82744	65.4145	500.0	40.15487	9.955573	54.697853	-8.12956	60000	-4.181862e-08	12.568863	-0.015600401	-0.821846	-0.32412416	0.004443769	0.0734	79.0	162.81603837013245
3	180.6942	11.955092	201.87979	140.68602	500.0	41.46418	9.347438	54.993587	13.331637	80000	6.866455e-09	7.335299	-0.016776215	-1.1550651	-0.3242844	0.00684652	0.0799	79.0	216.51812720298767
4	172.1136	23.409544	209.88942	110.67792	500.0	40.89307	10.154827	54.856274	-7.4002094	100000	1.8072129e-08	14.43284	-0.017423619	-1.3139105	-0.32476902	0.0065276483	0.0928	79.0	270.2395761013031
5	177.75166	18.113594	212.0376	125.360565	500.0	41.19525	9.748368	55.356373	7.7423863	120000	-1.0967255e-08	8.623888	-0.01848428	-0.75885296	-0.324825	0.0070033935	0.08315	79.0	324.12026023864746
6	175.5305	20.237383	208.74025	109.74997	500.0	41.58712	9.838329	55.12069	13.812335	140000	-1.8215179e-08	9.324701	-0.017092876	-0.25923634	-0.32504112	0.0062171766	0.09125	79.0	377.74380230903625
7	177.25034	23.324846	225.09232	112.78242	500.0	41.319164	9.740013	55.49166	-4.1587067	160000	-3.004074e-09	16.127832	-0.016338736	-1.1388388	-0.32525462	0.005851584	0.08465	79.0	431.9119505882263
8	175.51187	25.245934	209.26186	78.16888	500.0	40.822567	9.335346	54.923023	1.774106	180000	-6.2942505e-09	15.836679	-0.015379817	-0.75977993	-0.32545704	0.0049966415	0.0732	79.0	485.80115389823914
9	173.92122	21.96205	209.47491	94.657585	500.0	40.638042	9.691815	55.276962	2.784068	200000	1.2969971e-08	13.495163	-0.017628415	-1.4670868	-0.3258037	0.0072706994	0.09955	79.0	539.5792238712311
10	172.07915	26.214352	204.48582	71.80498	500.0	40.55322	9.858377	55.125107	-0.028629124	220000	1.6212464e-09	18.514324	-0.017627398	-1.8771744	-0.32613257	0.008241548	0.1053	79.0	593.8019754886627
11	178.5463	22.943361	210.81064	81.1473	500.0	40.4384	9.688856	55.34553	-8.167305	240000	-2.4032593e-08	11.075079	-0.017557915	-0.5592661	-0.3261234	0.0073880884	0.08775	79.0	649.4970347881317
12	173.32187	26.782022	210.9737	92.90004	500.0	40.345585	10.694678	55.174034	-8.940821	260000	1.4019013e-08	15.108012	-0.017592331	-0.4168558	-0.32659426	0.007688234	0.0966	79.0	703.0489809513092
13	174.10359	16.841234	202.5256	112.58283	500.0	40.699368	9.253882	54.532917	14.532495	280000	9.346008e-09	8.16771	-0.016872982	-0.85275555	-0.32712916	0.007239551	0.07975	79.0	758.7421085834503
14	177.85254	16.04017	214.14267	139.12314	500.0	41.480236	9.26446	55.020855	13.763494	300000	-3.7670137e-08	6.783086	-0.01703814	-0.45841074	-0.3275788	0.006429272	0.08845	79.0	811.6337666511536
15	173.0447	25.342428	206.35365	92.772415	500.0	40.889217	9.958824	54.922184	-6.7760105	320000	-2.4223327e-08	15.940225	-0.016127981	-1.5036383	-0.32818803	0.0070664934	0.08195	79.0	863.8205761909485
16	175.84338	24.751062	208.01128	87.52969	500.0	40.55194	10.177679	55.320663	-8.02245	340000	-1.0490417e-08	12.024333	-0.017006217	-0.7111349	-0.32844505	0.0064016283	0.09505	79.0	916.049400806427
17	177.98418	19.782515	208.54189	104.26214	500.0	41.601	9.039256	55.679646	9.052687	360000	1.3327599e-08	10.033983	-0.016807532	-0.24620533	-0.32885846	0.006358285	0.0926	79.0	968.0973746776581
18	169.63614	20.405256	195.66382	116.7407	500.0	40.41422	10.204402	55.169994	-7.858071	380000	-3.4356116e-08	12.581045	-0.017299594	-0.77835655	-0.32936066	0.0069816797	0.09525	79.0	1020.3452696800232
19	177.10362	20.91771	202.10455	80.73876	500.0	40.777023	10.923831	55.196674	-8.319722	400000	2.5749207e-09	11.6325655	-0.016844945	-0.5309229	-0.32950845	0.006765466	0.09095	79.0	1073.3062200546265
20	174.5969	21.165213	205.82312	93.23703	500.0	40.979412	10.107858	55.374306	-7.6611853	420000	2.2506715e-08	10.011699	-0.016309727	-0.67811775	-0.3299788	0.0073713446	0.08245	79.0	1125.864595413208
21	175.50229	24.689262	212.35097	77.20524	500.0	41.243103	10.050052	55.40625	7.4274025	440000	2.3078918e-08	13.30723	-0.017209288	-0.44077396	-0.33031863	0.006219133	0.0902	79.0	1178.6329503059387
22	174.85258	24.213612	209.24937	79.18559	500.0	40.69373	10.919122	55.449596	-8.226794	460000	2.4795532e-09	16.183514	-0.01669293	-2.519782	-0.3303294	0.0061965846	0.0821	79.0	1231.3595702648163
23	179.50558	20.74139	212.48412	83.757835	500.0	40.882362	10.213017	55.262447	-7.703691	480000	1.4925003e-08	10.216729	-0.017105576	-0.7672167	-0.3304402	0.0066786753	0.0821	79.0	1283.960406780243
24	171.54808	21.528776	196.41266	74.469246	500.0	40.264664	10.493728	54.726078	-10.50505	500000	-3.027916e-08	14.5430355	-0.017927174	-0.56214046	-0.3308085	0.00810026	0.09275	79.0	1336.3172025680542
25	173.15205	27.327814	206.79184	74.268715	500.0	40.283077	10.336407	54.832123	-10.487162	520000	-2.3460387e-08	14.453871	-0.017238032	-0.72792816	-0.33092403	0.0061458317	0.0863	79.0	1388.4473676681519
26	180.32193	19.59354	205.74998	94.45147	500.0	41.213318	9.866601	54.857258	9.943796	540000	8.249283e-09	11.041757	-0.017759165	-1.1939621	-0.33118543	0.0069777207	0.0839	79.0	1443.0239288806915
27	173.19568	21.33545	212.9811	117.822914	500.0	41.094555	9.3627825	54.73746	-0.5689541	560000	1.4281273e-08	12.629655	-0.017018972	-0.89817715	-0.33113217	0.0038508782	0.0849	79.0	1498.605062007904
28	174.34595	23.957289	200.0956	97.10255	500.0	40.750668	9.331293	54.723576	8.005729	580000	9.918213e-09	11.559772	-0.017016301	-0.40020084	-0.33166912	0.006568696	0.0817	79.0	1555.4617924690247
29	172.56097	28.602552	211.5019	67.97645	500.0	40.245308	11.011533	55.170593	-10.029867	600000	4.1222574e-08	18.954515	-0.017201975	-0.7352047	-0.33224598	0.0073283324	0.09365	79.0	1609.27712225914
30	174.09346	21.089914	210.54425	106.75825	500.0	40.312397	9.492606	54.584656	7.073064	620000	-6.2942505e-09	15.5792465	-0.016936468	-0.50358677	-0.33286923	0.0082564475	0.08965	79.0	1665.1339418888092
31	171.4261	23.156412	203.93541	84.031944	500.0	39.949055	9.872305	54.952667	-8.772691	640000	-1.3256073e-08	12.708942	-0.01648119	-0.36893463	-0.33321282	0.005972561	0.0838	79.0	1719.1082327365875
32	163.85684	38.12279	202.7948	29.823761	500.0	38.1519	11.987996	55.20093	-11.599341	660000	-2.1862984e-08	22.814367	-0.016492048	-1.6191521	-0.33357343	0.0064913817	0.09945	79.0	1772.597748041153
