Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	415.9693	37.63364	472.91772	345.7435	1000.0	43.52101	10.214334	56.81471	-2.7428625	20000	6.837845e-08	15.085206	-0.021355245	-0.6013622	-0.9267787	0.0081736045	0.1176	79.0	57.120769739151
1	402.61813	54.389305	480.18134	274.41498	1000.0	42.517006	11.063472	57.277218	-2.164556	40000	1.2397766e-08	18.09116	-0.02154503	-1.7865105	-0.9272172	0.008946753	0.12125	79.0	111.25390148162842
2	439.38947	29.601665	483.19736	348.04248	1000.0	44.336758	8.341082	57.793938	15.340669	60000	5.607605e-08	12.4034605	-0.02248831	-2.7456083	-0.9274895	0.007711905	0.10705	79.0	165.36467337608337
3	424.5109	36.779682	462.14694	314.8808	1000.0	44.99028	8.98439	57.645206	12.561726	80000	1.6784668e-08	12.1133585	-0.021509478	-0.9803133	-0.9273491	0.009183485	0.1138	79.0	218.84435272216797
4	412.11517	46.45201	453.79855	239.98161	1000.0	43.196205	11.085509	57.405964	-3.7192445	100000	-4.2915346e-08	13.4325905	-0.021343535	-1.0043707	-0.92739326	0.007529535	0.11495	79.0	273.32488226890564
5	405.54626	57.783466	477.6008	247.654	1000.0	41.753536	11.691292	56.8631	-4.933916	120000	-4.3964388e-08	18.715508	-0.022646664	-0.6134472	-0.9277353	0.009363949	0.1301	79.0	327.0681252479553
6	438.62296	18.511526	476.54205	409.3848	1000.0	44.68571	8.006248	56.819283	5.631339	140000	-2.0217895e-08	7.968336	-0.02127207	-1.3391008	-0.9284359	0.007682473	0.10995	79.0	380.8511664867401
7	418.13593	49.003983	484.25266	263.02557	1000.0	43.70972	11.437279	57.873028	-4.12026	160000	8.010864e-09	21.29523	-0.021352423	-1.6189041	-0.9284346	0.008294061	0.11325	79.0	434.31471037864685
8	420.3138	71.401535	474.1598	125.93675	1000.0	43.4561	10.621923	58.093338	2.8320496	180000	-2.4795532e-09	18.003971	-0.021838957	-1.4425335	-0.92864805	0.0092423335	0.10995	79.0	488.5645453929901
9	390.1408	89.34664	477.59055	63.91673	1000.0	40.83051	14.2941675	57.694004	-6.538461	200000	-6.608963e-08	21.538843	-0.022316197	-1.396183	-0.92948633	0.007978988	0.12895	79.0	545.3622124195099
10	432.89526	21.67991	469.37714	398.09277	1000.0	43.975395	8.155826	56.905437	3.3886983	220000	-5.273819e-08	11.737061	-0.021437539	-2.489787	-0.9295534	0.010527977	0.11135	79.0	600.4322643280029
11	401.7541	88.17296	459.96652	63.0982	1000.0	43.144836	11.219826	58.05804	2.7150013	240000	-1.2760162e-07	28.010391	-0.021145321	-4.5214405	-0.92989373	0.0077353907	0.11425	79.0	654.788911819458
12	423.03555	31.358908	511.03833	356.78165	1000.0	43.72745	9.453257	58.16804	9.288204	260000	9.045601e-08	13.532393	-0.02198836	-1.7755775	-0.9297419	0.008504844	0.10685	79.0	708.4931774139404
13	426.70923	33.68359	484.9281	361.46854	1000.0	44.393433	9.092752	57.58524	5.714915	280000	1.3437271e-07	13.145902	-0.021432215	-0.4977169	-0.9305147	0.009245558	0.10815	79.0	763.7725796699524
14	427.1229	49.615387	492.3847	314.1728	1000.0	44.453106	9.318431	57.638363	7.164733	300000	1.0342598e-07	14.441646	-0.022531183	-0.49125195	-0.9311175	0.007861455	0.11465	79.0	819.6460800170898
15	361.96942	124.8971	465.56284	37.414585	1000.0	38.949406	16.675903	56.31274	-9.908702	320000	-2.9706955e-08	21.44627	-0.022552747	-2.8961983	-0.93141395	0.008638637	0.1234	79.0	875.8451418876648
16	413.99722	56.680485	468.0077	254.01193	1000.0	42.298977	12.5574465	57.57785	-4.7390575	340000	-4.887581e-08	18.247663	-0.021672491	-2.7454195	-0.931753	0.0079288725	0.11965	79.0	930.5563983917236
17	414.67505	55.445824	462.93768	223.80067	1000.0	43.131783	10.848556	57.007446	-3.7679524	360000	-8.9979174e-08	12.053826	-0.023052767	-0.4143486	-0.93201363	0.009795241	0.11755	79.0	984.9580676555634
18	403.96387	87.116196	470.84473	40.7214	1000.0	42.75177	12.355967	56.970963	-8.154979	380000	-8.0823895e-08	14.080521	-0.02277959	-1.7846699	-0.93260497	0.0086121345	0.1157	79.0	1040.7489199638367
19	374.58124	123.74544	483.59036	56.0617	1000.0	39.65343	16.513521	57.931213	-8.727621	400000	-1.5163421e-07	17.63846	-0.022104682	-0.9658413	-0.93283004	0.008637951	0.11555	79.0	1096.3003108501434
20	415.20444	61.821796	472.14343	198.68147	1000.0	43.42564	11.601551	57.233658	-6.0415597	420000	2.1791458e-08	14.376339	-0.021216441	-1.4692659	-0.9332158	0.007805426	0.1119	79.0	1151.384551525116
21	416.0888	48.533413	468.95007	289.7807	1000.0	43.152508	11.314388	56.862865	-6.3912807	440000	6.661415e-08	13.043079	-0.020890446	-0.96913624	-0.9331036	0.008245812	0.1044	79.0	1209.7406165599823
22	415.71118	45.992626	479.58975	268.93393	1000.0	43.39193	11.22609	57.64552	-5.0813217	460000	3.9720536e-08	15.116017	-0.021747215	-1.1367521	-0.93384004	0.008760373	0.1212	79.0	1268.4670000076294
23	406.42838	67.820244	469.47253	153.95667	1000.0	42.309544	12.026984	56.963062	-5.6294656	480000	-6.3896177e-09	12.012771	-0.021634607	-0.40873528	-0.934226	0.0076279854	0.1094	79.0	1325.4190964698792
24	390.41852	94.69876	476.3252	89.076706	1000.0	40.299225	15.091074	56.818905	-7.4495983	500000	-1.4877319e-08	18.38572	-0.02201419	-0.8750782	-0.93457556	0.008230887	0.12275	79.0	1382.3243322372437
25	399.84015	99.27583	474.84763	29.28502	1000.0	40.928886	14.46257	56.869774	-9.811698	520000	1.6403199e-08	15.798394	-0.021392446	-0.80321026	-0.93501174	0.0075604934	0.116	79.0	1437.9423987865448
26	403.24835	95.97433	476.5722	83.41564	1000.0	41.18088	14.149021	57.247272	-9.133936	540000	5.3930282e-08	16.497711	-0.021683399	-0.50753593	-0.9352224	0.009793493	0.12275	79.0	1493.1334509849548
27	412.27798	41.399456	451.79694	253.47227	1000.0	42.85787	10.851362	56.71748	-4.6940174	560000	-9.1552735e-08	9.946181	-0.021864828	-0.4329443	-0.93603104	0.010766808	0.11805	79.0	1548.5722398757935
28	417.41803	45.833435	480.95273	282.61426	1000.0	43.28454	10.033912	56.541466	-3.2818487	580000	-4.5490264e-08	13.528703	-0.02236999	-0.5208874	-0.93713284	0.007194054	0.1283	79.0	1604.8175463676453
29	410.24365	49.336937	480.3048	245.76003	1000.0	42.56035	11.347531	56.123898	-5.8966064	600000	-3.5238266e-08	11.535178	-0.021117607	-0.28960514	-0.93705076	0.007977607	0.11605	79.0	1659.7346987724304
30	400.1198	103.81479	470.7906	-22.490118	1000.0	41.199898	13.596315	56.69079	-10.776766	620000	-1.4781952e-08	14.889803	-0.022409944	-1.1387768	-0.93713295	0.008356831	0.1183	79.0	1713.98886013031
31	390.16852	96.50507	499.3337	95.83033	1000.0	40.750458	14.323386	57.508087	-7.679243	640000	-6.103516e-08	18.57907	-0.021498539	-0.7208214	-0.93752915	0.008045456	0.1194	79.0	1770.4203898906708
32	417.0096	41.90533	462.40128	305.0666	1000.0	43.46722	9.882489	56.769245	-2.9910579	660000	-6.4229965e-08	13.545669	-0.021545649	-0.4863596	-0.9379405	0.0086708255	0.1139	79.0	1826.600148677826
33	387.82037	84.15362	444.57974	54.549335	1000.0	41.019485	13.299582	57.277584	-9.587872	680000	-1.6212464e-09	20.235502	-0.021150753	-1.4339161	-0.93815315	0.008452831	0.1215	79.0	1881.6229557991028
34	425.28598	33.26961	491.1149	352.36823	1000.0	43.249214	9.510346	56.765015	0.86880517	700000	-1.4781952e-09	14.2539015	-0.022262996	-1.1166515	-0.93813837	0.008124223	0.11395	79.0	1937.073965549469
35	419.08398	36.051422	451.8693	308.90527	1000.0	43.299248	10.933651	57.439903	-5.171798	720000	3.9339067e-08	11.370781	-0.020934248	-0.52929306	-0.93830836	0.008061773	0.1103	79.0	1991.432596206665
36	401.12506	84.92999	471.98148	66.45745	1000.0	42.17027	12.310117	56.956093	-8.289222	740000	5.3453444e-08	15.661225	-0.023368057	-1.1103611	-0.9387113	0.008379987	0.13165	79.0	2046.0012073516846
37	413.06656	60.139187	474.27884	171.41739	1000.0	43.376907	9.545378	56.106674	4.1083	760000	-1.335144e-09	14.816512	-0.020749595	-0.97615623	-0.9386963	0.009573036	0.11565	79.0	2100.7528233528137
