Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	459.87167	146.6413	567.3005	56.674904	1000.0	46.417118	18.170435	63.573746	-4.356447	20000	-3.8146974e-09	16.554337	-0.016411208	-2.092327	-0.18935017	0.006676869	0.0867	79.0	52.975035667419434
1	410.41998	149.74388	541.5515	77.657074	1000.0	43.808056	19.663359	63.95421	-3.0401673	40000	-4.196167e-09	22.750755	-0.016006494	-2.9911327	-0.18927428	0.006356698	0.0753	79.0	106.75778841972351
2	433.6874	159.07983	552.91797	61.042328	1000.0	43.91838	19.537357	63.230343	-7.4584985	60000	-2.7179718e-08	20.051683	-0.015463025	-0.55807686	-0.19014329	0.0072842087	0.09105	79.0	158.7543909549713
3	427.9157	153.93848	548.80927	43.38977	1000.0	44.22447	19.825827	63.872334	-4.129753	80000	-1.6784668e-08	21.1547	-0.017044347	-0.60442734	-0.1905408	0.008658515	0.09145	79.0	211.63251519203186
4	475.54828	116.15242	560.118	38.447502	1000.0	48.54808	14.75322	63.76105	-4.2279754	100000	-2.7799606e-08	15.185778	-0.016586505	-0.8520622	-0.19065523	0.007288742	0.0887	79.0	265.03593945503235
5	474.4759	95.71189	548.5047	91.17828	1000.0	48.87644	14.673155	63.79067	-4.222881	120000	-6.1035155e-09	15.751964	-0.016984634	-0.7903242	-0.19123599	0.0055917017	0.08385	79.0	315.97350573539734
6	466.27057	111.64656	558.2787	96.129234	1000.0	48.163494	16.272667	64.03977	-4.4269953	140000	-3.2043456e-08	18.912529	-0.017898418	-1.3057251	-0.19135208	0.006487843	0.0946	79.0	366.6929476261139
7	456.07404	156.01234	563.69055	-40.780693	1000.0	46.948742	18.108797	63.5728	-4.684687	160000	-2.1219254e-08	16.689497	-0.017834608	-1.5631723	-0.19161832	0.008822	0.09575	79.0	417.7989158630371
8	425.00043	152.50789	535.88696	50.129032	1000.0	44.02554	20.481743	63.925392	-4.6915255	180000	2.6893616e-08	24.751537	-0.017417507	-2.3532925	-0.19175002	0.008308962	0.09615	79.0	468.6670506000519
9	437.899	150.31978	559.32465	72.65165	1000.0	44.7766	18.41703	63.65875	-4.152872	200000	-2.3269653e-08	17.428043	-0.017306179	-1.991828	-0.1920946	0.0075829118	0.09735	79.0	519.4393515586853
10	494.91977	48.714085	546.3417	311.5375	1000.0	50.952995	11.267591	63.856495	5.0529556	220000	2.1314621e-08	11.023723	-0.01595802	-0.6551857	-0.19205463	0.0071189483	0.087	79.0	570.0970213413239
11	480.53598	99.53419	560.422	99.3548	1000.0	49.243145	15.237346	64.03761	-4.442657	240000	2.2506715e-08	13.935513	-0.018112449	-0.6737356	-0.19247882	0.0071304184	0.0953	79.0	620.7695333957672
12	470.88397	137.58427	562.13495	44.044384	1000.0	48.44863	17.030518	63.73489	-4.177355	260000	6.377697e-10	14.090943	-0.015903218	-0.5175934	-0.19270058	0.0049910215	0.0815	79.0	672.0230505466461
13	508.11322	37.856785	559.40674	372.21252	1000.0	51.84962	11.492888	64.10572	-2.3019238	280000	-3.4046174e-08	9.036615	-0.017698182	-0.6101341	-0.1930472	0.009119194	0.09145	79.0	722.9761307239532
14	435.53174	154.78662	547.357	67.92652	1000.0	45.139477	19.650064	63.78675	-4.3598676	300000	3.376007e-08	19.700886	-0.017716369	-2.1967335	-0.19408385	0.005431121	0.1071	79.0	773.957976102829
15	415.1396	156.86249	543.1606	61.40982	1000.0	42.242485	20.991867	63.512802	-4.7129354	320000	7.6293943e-10	22.968891	-0.017316414	-1.1964283	-0.19474208	0.0078213485	0.09915	79.0	824.8232944011688
16	506.05396	24.004734	554.1474	444.83914	1000.0	51.425236	9.46206	63.77011	12.614488	340000	2.4318696e-09	9.679757	-0.015179005	-1.3282051	-0.19520213	0.0056662317	0.0754	79.0	877.0489876270294
17	480.02832	82.145134	563.5696	163.7702	1000.0	50.087467	12.992306	63.880264	-4.086022	360000	2.2029877e-08	13.673255	-0.016624287	-1.2530689	-0.19570892	0.0044424613	0.08515	79.0	928.5400772094727
18	504.9995	33.50867	564.7553	438.9308	1000.0	51.7004	10.266624	63.655315	13.858212	380000	-1.2588501e-08	11.953391	-0.015527573	-0.9479189	-0.19637707	0.0070639807	0.07985	79.0	979.7718470096588
19	486.69214	50.124935	534.4444	332.7535	1000.0	51.3078	11.817259	64.1444	-3.100733	400000	-2.3174286e-08	15.274659	-0.016105998	-0.72823143	-0.19662327	0.0057453476	0.0794	79.0	1030.7057790756226
20	479.06982	78.7655	549.2116	180.12965	1000.0	49.72545	13.969013	63.611263	-3.4688878	420000	1.0490417e-09	18.360344	-0.016416645	-0.69049644	-0.1968101	0.008045288	0.0877	79.0	1081.6825113296509
21	505.83795	38.89472	566.6179	430.11646	1000.0	51.61745	10.609306	63.64791	-3.9796798	440000	8.869171e-09	11.783841	-0.016357072	-0.8115845	-0.19696316	0.0077027725	0.0981	79.0	1132.7997970581055
22	494.20282	47.19751	550.7123	356.4695	1000.0	51.158363	11.422384	63.823532	-4.994363	460000	-4.6157837e-08	16.10475	-0.016626326	-0.85813427	-0.19768938	0.0071992553	0.08875	79.0	1183.9218170642853
23	470.3082	136.15244	550.876	58.770664	1000.0	47.30647	17.173498	63.723473	-5.2036734	480000	-3.7193297e-09	17.33243	-0.016073678	-1.2336731	-0.19784774	0.006059896	0.08175	79.0	1234.951397895813
24	410.10904	155.2188	548.57117	43.726654	1000.0	42.58021	20.109632	63.968586	-5.5907393	500000	7.4386595e-09	25.01104	-0.017028924	-0.9455013	-0.19816963	0.0062099462	0.0878	79.0	1285.8557949066162
25	479.00537	98.681946	547.9725	108.42027	1000.0	48.39596	15.101602	63.721893	-5.363509	520000	3.7288665e-08	15.645863	-0.017157728	-0.9662247	-0.19813247	0.00674618	0.08815	79.0	1336.9795317649841
26	409.27457	154.14656	571.4458	86.53861	1000.0	42.164017	20.531775	63.860954	-4.2406855	540000	1.8596649e-09	24.323277	-0.017506652	-1.2139645	-0.19870552	0.007259155	0.09425	79.0	1388.2640998363495
27	412.18546	166.87292	542.71515	71.204796	1000.0	42.48741	20.562792	63.663612	-5.6119866	560000	-3.2615663e-08	25.919827	-0.017041748	-1.2450237	-0.19913697	0.006535244	0.09525	79.0	1439.390811920166
28	465.30096	151.46257	565.36633	60.967297	1000.0	45.913647	18.617027	63.57001	-4.3316846	580000	2.1457671e-09	17.631643	-0.01631596	-3.3051186	-0.19964653	0.008346584	0.0908	79.0	1490.3990194797516
29	423.02972	167.68861	556.3417	48.741554	1000.0	44.025642	21.387571	64.18995	-4.0975685	600000	1.1825562e-08	21.266048	-0.01604697	-1.5710335	-0.1997809	0.006102076	0.08515	79.0	1542.0280723571777
30	464.45386	92.4816	591.5887	158.93973	1000.0	46.955753	16.694847	63.807316	-3.6101532	620000	-5.722046e-10	22.695652	-0.01756841	-2.0812054	-0.19983257	0.007972719	0.0989	79.0	1593.4874022006989
31	488.85458	84.86434	549.2515	144.72382	1000.0	50.36601	12.798308	63.649086	-3.7089612	640000	-1.335144e-09	12.629371	-0.016076678	-0.4876852	-0.2001155	0.0047418135	0.08115	79.0	1644.6892292499542
32	441.76538	141.50677	545.7869	42.389008	1000.0	46.424873	17.446987	63.739513	-4.1298714	660000	1.8692017e-08	22.719278	-0.017675465	-3.710083	-0.20081799	0.0069326125	0.08845	79.0	1695.5578818321228
