Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	326.54468	58.91537	379.25626	83.666336	1000.0	38.246548	13.774285	57.011772	-6.777259	20000	-2.0694733e-08	81.4361	-0.020265557	-29.8232	-0.6233263	0.0038962227	0.1027	79.0	57.2409234046936
1	335.11945	68.63764	399.91296	46.653934	1000.0	35.853374	15.155053	57.068867	-9.252882	40000	4.453659e-08	53.15021	-0.020308986	-16.769989	-0.6237649	0.0059817387	0.097	79.0	113.56174778938293
2	331.31805	44.885887	380.1672	205.38362	1000.0	33.921402	14.496714	55.267693	-6.074878	60000	7.820129e-09	40.550426	-0.019555295	-8.369762	-0.62379557	0.006267168	0.0944	79.0	169.66446566581726
3	357.30936	21.117197	394.01022	307.35944	1000.0	35.26843	13.415497	55.841957	-2.0772657	80000	-2.0837783e-08	33.427795	-0.019085882	-8.976267	-0.624074	0.0048524346	0.09475	79.0	223.77869129180908
4	325.21686	97.97158	381.64056	13.108276	1000.0	32.22528	16.594215	55.83791	-9.056991	100000	3.409386e-08	27.818829	-0.019968469	-3.376791	-0.6249454	0.0072668	0.10485	79.0	279.11409544944763
5	340.5976	69.7297	391.69006	100.07834	1000.0	33.031338	14.755304	55.617687	-9.656851	120000	5.841255e-09	29.45599	-0.020669583	-2.1262684	-0.6250409	0.00786668	0.11065	79.0	335.8665175437927
6	328.28	91.60893	391.9699	-28.59496	1000.0	32.135647	16.639023	55.3907	-11.44224	140000	-5.7840346e-08	22.142134	-0.020166341	-1.1719284	-0.62514067	0.006772228	0.10535	79.0	392.51495146751404
7	354.39713	33.32197	388.37433	253.34026	1000.0	34.949364	12.789915	55.850525	0.32526904	160000	-2.746582e-08	19.88414	-0.020909164	-1.1635361	-0.6251692	0.007967514	0.1123	79.0	449.0771803855896
8	311.93875	66.7815	369.1595	164.51646	1000.0	31.766174	14.153067	54.61202	-2.9378967	180000	-4.644394e-08	27.731144	-0.021446802	-2.03718	-0.62538075	0.0065356772	0.1108	79.0	505.4768657684326
9	319.24628	93.855125	397.896	47.02599	1000.0	30.212128	17.091438	55.419132	-8.86031	200000	1.692772e-08	20.48366	-0.021617634	-0.7992916	-0.6255901	0.009048696	0.114	79.0	560.0377278327942
10	333.74088	58.033833	378.5111	145.07292	1000.0	32.37381	15.32426	55.057167	-6.279212	220000	4.8160555e-08	20.863882	-0.021206597	-0.97504807	-0.6258491	0.0072827414	0.11685	79.0	614.6368405818939
11	318.0683	82.37342	386.9287	47.051716	1000.0	31.98366	14.897291	54.763466	-8.401977	240000	-3.7431718e-08	30.924591	-0.020721318	-1.2246475	-0.62643236	0.0076133204	0.10885	79.0	669.4574933052063
12	327.3972	76.184074	379.63638	102.45862	1000.0	31.538332	15.0527315	54.60837	-7.675436	260000	7.486343e-09	17.577187	-0.02042525	-0.791914	-0.62685263	0.00762353	0.105	79.0	725.3907206058502
13	328.10867	106.715515	404.15622	12.950765	1000.0	31.699457	16.313072	55.116768	-10.364835	280000	1.5544892e-08	20.149035	-0.019915555	-0.8914814	-0.62731117	0.009193849	0.10905	79.0	782.651344537735
14	333.12042	51.57515	386.88663	188.66647	1000.0	33.125477	13.068274	55.54935	-1.3923526	300000	-7.8582765e-08	26.032827	-0.021173922	-1.0776443	-0.6274576	0.007965863	0.11395	79.0	839.9762289524078
15	278.32562	132.30417	396.2589	-142.22194	1000.0	28.79775	16.340897	55.215244	-8.991129	320000	4.014969e-08	61.97985	-0.020318447	-6.349289	-0.62779796	0.0056382013	0.10495	79.0	896.601588010788
16	340.64838	49.61122	390.34335	233.33995	1000.0	32.584854	13.664304	55.02406	-5.8029466	340000	-6.093979e-08	24.689669	-0.019272787	-2.3412266	-0.62800086	0.006631405	0.09875	79.0	949.9422793388367
